Chaowei Аккумулятор 58 Ач	Аккумуляторы	15.000	260.00
Каска	Аксессуары	0.500	10.00
Мотор стеклоочистителя 12Вольт	Аксессуары	0.500	23.00
Желмаян вал двигателя 227 1800В	Валы	0.400	15.12
Желмаян вал двигателя 247 2200В	Валы	0.500	20.00
Генератор 5,5 кВт	Генераторы	21.750	900.00
Зарядка 60В 58Ач	Зарядные устройства	0.944	50.00
Зарядка 72В 58Ач	Зарядные устройства	0.850	60.00
Набор съёмников для трицикла	Инструменты	3.000	60.00
Камера 4.00-12	Колеса	0.505	8.00
Камера 4.50-12	Колеса	0.574	9.00
Камера 5.00-12	Колеса	0.732	10.00
Шина 3.00–12	Колеса	1.700	30.00
Шина 3.50–12	Колеса	2.136	35.00
Шина 3.75–12	Колеса	2.650	40.00
Шина 4.00–12	Колеса	2.800	45.00
Шина 4.50–12	Колеса	4.250	63.00
Диск 4 отверстия 4.00-12 (33×8 см)	Колеса	4.300	20.00
Диск 4 отверстия 4.50-12 (33×10 см)	Колеса	4.000	27.00
Диск 5 отверстия 4.50-12 (33×10 см)	Колеса	4.000	27.00
Шина 5.00–12	Колеса	6.000	85.00
Желмаян Контроллер 1,8 кВт 70H	Контроллеры	1.900	175.00
Желмаян Контроллер 2,2 кВт 80H	Контроллеры	2.600	240.00
TQ Контроллер 1,5 кВт	Контроллеры	1.650	145.00
Желмаян Контроллер 1,5 кВт 60H	Контроллеры	1.500	145.00
TQ Контроллер 1,2 кВт	Контроллеры	1.400	150.00
Кронштейн 43мм 25,5 см	Крепеж	2.970	22.00
Кронштейн 43мм 30 см	Крепеж	2.970	33.00
Стандартный дисплей	Мониторы	0.340	9.00
Желмаян Мотор 1.8кВт 70H	Моторы	7.560	335.00
Желмаян Мотор 2.2кВт 80H	Моторы	8.410	385.00
TQ Мотор 1,5 кВт	Моторы	6.533	230.00
Желмаян Мотор 1.5кВт 60H	Моторы	6.000	285.00
TQ Мотор 1,2 кВт	Моторы	5.000	290.00
Ручка газа 3 скорости + задний ход	Органы управления	0.133	5.00
Напольная педаль газа	Органы управления	0.415	9.00
Замок зажигания с ключами	Органы управления	0.061	2.00
Замок зажигания самосвала с ключами	Органы управления	0.040	2.00
Переключатели на руль	Органы управления	0.210	9.00
Руль без комплектующих	Органы управления	0.300	6.00
Шайба переключатель переднего и заднего хода	Органы управления	0.060	9.00
Круглая фара	Освещение	0.355	9.00
Задний фонарь 23 см	Освещение	0.125	4.00
Задний фонарь 28 см	Освещение	0.125	5.00
Круглый боковой фонарь	Освещение	0.350	13.00
Поворотник на кронштейн фары	Освещение	0.150	4.00
Ось переднего колеса 32 см, 1,5 см	Оси	0.490	8.00
Полуось 18зуб 9см 50см	Оси	0.650	8.00
Полуось шляпка 6зуб 58.5см	Оси	0.650	35.00
Полуось шляпка 18зуб 58.5см	Оси	0.650	35.00
Ось переднего колеса 32 см, 2 см	Оси	0.490	8.00
Ось переднего колеса 28 см, 1,5 см	Оси	0.490	6.00
Полуось 18зуб 9см 46см	Оси	0.650	5.00
Полуось шляпка 6зуб 60см	Оси	0.650	6.00
Полуось 6 зуб 10см 50см	Оси	2.100	30.00
Полуось 6 зуб 10см 60см	Оси	2.000	20.00
Амортизатор 43×72 (Ø1,5 см)	Подвеска	6.440	78.00
Амортизатор 43×72 (Ø2 см)	Подвеска	6.440	78.00
Амортизатор 37×72 (Ø1,5 см)	Подвеска	6.692	65.00
Амортизатор на дисковый тормоз 43×76 (Ø1,5 см)	Подвеска	6.000	95.00
Основной кабель 12В	Проводка	0.565	40.00
Сигнал 12В	Сигнализация	0.105	4.00
Сигнал 60В	Сигнализация	0.105	4.00
Колодки 160	Тормозная система	0.475	5.00
Колодки 180	Тормозная система	0.650	6.00
Ручник с тросом 50 см	Тормозная система	0.415	5.00
Тормозной барабан 160 маленький	Тормозная система	0.650	8.00
Тормозной барабан 180-63	Тормозная система	0.650	30.00
Трансмиссионное масло	Трансмиссия	0.090	2.00
Редуктор 20 зуб 5 кг	Трансмиссия	4.650	115.00
Редуктор 22 зуб 5 кг	Трансмиссия	4.650	185.00
Редуктор 23 зуб 5 кг	Трансмиссия	4.650	185.00
Редуктор 18 зуб 4.3 кг	Трансмиссия	4.650	115.00
Редуктор 6 зуб 4.3 кг (большой)	Трансмиссия	4.630	120.00
Редуктор 6 зуб 7.4 кг (большой)	Трансмиссия	7.950	160.00
Трос повышенной/пониженной 150см	Трансмиссия	0.205	5.00
Редуктор 20 зуб закрытый	Трансмиссия	4.650	115.00
Трос повышенной/пониженной 220см на кабинный трицикл	Трансмиссия	0.250	10.00
Преобразователь 48–72В 15А	Электроника	0.135	10.00
Реле поворотов 12В	Электроника	0.010	2.00
Реле поворотов 48–60В	Электроника	0.010	2.00
Плата с 3 датчиками	Электроника	0.020	5.00
Переднее крыло 3.00-3.50-12	Колёса	0.400	6.00
Переднее крыло 3.75-4.00-12	Колёса	0.450	6.00
Переднее крыло 4.50-5.00-12	Колёса	0.500	14.00
Рычаг повышенной/пониженной передачи	Органы управления	0.250	10.000
Рулевая колонка	Органы управления	3.400	83.000
